peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,Subject,184,214,289,317,320,327,348,353,373,387,408,461,528,739
M71T823_POS,70.98037177008463,70.98032058097817,70.98052076685806,823.2447509765625,821.4390869140625,825.24945068359375,14,14,98814570.48652585,103058444.53711598,22017662.896962017,19108756.752727177,17021994.468695566,20324384.23736227,19417823.740340527,17032355.858102467,20139839.89773312,17208698.195708387,21704214.00017233,23904815.094931006,16100619.06534757,13942530.550175168
M72T34_POS,71.9075735206728,71.90752860514701,71.90768875880393,33.84427833557129,33.5679,35.31562423706055,8,8,NA,1058110.518888151,NA,NA,1458521.6237242194,1108810.6254680809,1390128.9869347191,NA,1632483.55510847,NA,635714.0536994319,1063292.3358338182,NA,194301.09576709024
M72T822_POS,71.98733082921186,71.98726539777631,71.98759301692719,822.28662109375,820.91632080078125,824.94317626953125,14,14,9885795.062561965,8611862.8724396,5104365.147579042,5732193.894489421,4676542.7141992785,4961809.46008055,4128542.7665820452,3729778.4485239205,3871569.775096965,4732124.850486436,3200806.823732024,6516587.543371918,4149600.9061010955,3983602.1091556
M73T36_POS,73.02833522253003,73.02827615093415,73.02849703473395,36.064931869506836,31.692245483398438,38.327083587646484,14,14,3398692.0580568435,3512708.7798500005,16385707.43561426,12148918.240164192,12925164.114659736,6800067.749651087,13579659.027976925,15480321.334830185,9486289.064099772,8695337.387395132,11673617.374694081,8069526.247201604,7751669.530743058,7992253.413961089
M74T584_POS,73.70056266821526,73.7005319065833,73.70067874055012,584.35418701171875,583.67822265625,584.950927734375,9,9,NA,NA,NA,148908.0244640585,164547.15350976348,137430.35624023605,130716.10472851453,NA,212296.06603190524,241611.97533047118,206629.42682421755,NA,223756.82377551848,93615.5098487233
M75T47_POS,74.81906349915504,74.81902222821785,74.81922855835042,46.72004699707031,45.68384552001953,47.819091796875,7,7,NA,NA,481620.4363008963,359175.73343304236,NA,753267.5669322918,NA,705321.0437005209,824202.7103700006,NA,NA,328823.1979451068,177348.81487650654,NA
M75T722_POS,75.26419378858286,75.26413429278172,75.26429902903017,721.802490234375,719.42889404296875,728.849853515625,7,7,NA,716277.6924228471,NA,NA,NA,1277414.4252292346,1274141.773648211,876181.0823230343,387651.8621005457,NA,NA,844917.5090477956,633207.4902000005,NA
M76T812_POS,76.10571252986283,76.1056327137459,76.10591186991056,812.140869140625,809.65338134765625,817.78216552734375,13,12,NA,1234626.7365725832,843241.2922163408,NA,2132956.796177166,2141186.6108146734,1753478.37036439,2545651.68518091,2150366.1149658104,1856811.1535317788,2191974.2551492266,923198.6967787616,1930056.8462198216,2055260.4926370657
M76T786_POS,76.10577771727873,76.10567754353839,76.10590593044394,786.2386474609375,778.73602294921875,799.514,12,9,NA,1643256.010527274,2786995.0563920983,NA,2257253.4015104156,1256238.6020089355,1700218.6602929775,NA,2591301.9672530545,NA,NA,5654832.754776373,3106094.2413987247,2719443.3889550692
M76T756_POS,76.1057912198022,76.10576259810531,76.10589247343111,755.5662841796875,748.8548583984375,767.907,8,7,NA,NA,NA,NA,NA,2998863.8754917355,3908162.824523436,3255130.1245604367,3147577.8784349775,4766695.847758214,NA,3964152.2221621596,3240841.9713511136,NA
M76T584_POS,76.42460704104583,76.42454758155723,76.42473491496419,584.35418701171875,583.39453125,584.950927734375,9,9,NA,NA,NA,175250.3786188609,182481.27892522083,138439.22618359543,108818.05675781023,NA,207773.32265624768,242907.8424885811,245601.0184480165,NA,265150.52500872966,85860.23262031442
M77T33_POS,77.03845433172961,77.03825921141761,77.03868238336364,32.64994239807129,32.314727783203125,33.09098434448242,14,14,4575448.339767263,2526088.294576351,3009335.239160415,4010528.253326076,497045.952325056,1725817.5782194866,1346672.3613459368,2796566.9028508924,488759.8013113513,2524708.002698956,2779408.545628709,644303.0283271765,2310026.7553472663,1888738.4391901449
M78T47_POS,77.9682253575805,77.9681753233352,77.9684190821763,47.0097,44.27801513671875,47.32963943481445,13,13,711588.8218653321,870327.974145812,535794.0488002822,963485.187257952,595676.9044620206,590240.7683808036,439842.9793433387,488031.85419927456,493398.08971249964,NA,719453.3349851561,534063.9535202147,401225.8355134487,483743.9481798297
M79T33_POS,79.05412479848101,79.0540463618266,79.05429157522059,33.07761764526367,32.8286018371582,34.22698211669922,14,14,11948952.039804442,6613192.724248297,11634861.171099994,15086140.20662203,4168965.437325003,7727687.710954862,5161900.060295832,13652796.903941546,6644062.672834457,13878306.982405955,12961881.431508416,5054779.713679686,14676969.296319963,7817216.761258814
M79T562_POS,79.07523490539019,79.07517752488319,79.07541524626166,561.88482666015625,543.5877685546875,565.511962890625,17,12,NA,NA,6035268.507920439,7514715.394963929,10720784.404868433,11316869.686547285,8175718.533705353,11400997.033429507,10493963.479071392,15838518.034679517,15733103.992928121,10122374.636818541,9195978.035191111,8838849.112470038
M79T579_POS,79.07521878902769,79.07517097990772,79.07538433224506,579.1087646484375,572.8001708984375,583.1124267578125,11,10,NA,NA,13325070.645574972,20233336.027525183,17142047.360896256,13998747.84021157,NA,8503779.972812606,NA,7259256.731434601,8188187.859160234,12185846.230018325,17971018.17717035,9885893.446679547
M79T478_POS,79.07522737863884,79.07518797412469,79.07538354399212,478.46923828125,467.75,479.7132263183594,11,10,NA,NA,10870409.454437502,11776625.527901761,5057083.841926135,6713193.460627316,22182450.11314999,10729099.972753912,NA,8539908.809754802,5782782.559023403,NA,4144296.0552574145,7963316.789806044
M79T598_POS,79.0752258572975,79.07515228966317,79.07536225101015,598.1346435546875,589.83734130859375,609.01873779296875,15,11,NA,NA,7026464.01099993,6997583.845036499,12955459.962026384,13264293.83919401,21382442.25012308,9337927.98242499,NA,9517463.551231243,13999660.704679875,13220493.57058779,9308092.291195288,11730189.678452663
M79T420_POS,79.07523668600774,79.07518860486523,79.07538998582453,420.4296569824219,419.64801025390625,432.0780334472656,9,8,NA,NA,3915731.853785714,NA,5779420.1023064535,6771565.445000011,NA,5057664.869668274,4491154.803272747,3463364.6380976746,NA,NA,8238859.704562527,9236424.390979722
M79T652_POS,79.07521862330438,79.07515469262091,79.07537335751915,651.9584045410156,644.1898193359375,661.64874267578125,10,8,NA,NA,10948149.457939094,NA,7323779.093854166,10579051.523584032,NA,8360345.644241304,NA,9077413.478695314,10974897.89426356,6834131.533047597,17397284.119090855,NA
M79T624_POS,79.0751796402784,79.07516545750458,79.07534404263356,623.54168701171875,622.396728515625,627.8951416015625,7,7,NA,NA,21583727.149749983,7812563.608750027,9196539.15931034,7246732.444023784,NA,19376065.34524797,NA,NA,NA,NA,8628517.784081915,22063390.942046266
M79T684_POS,79.07521155381565,79.07513269810536,79.07532954798337,684.311279296875,668.20623779296875,695.37396240234375,13,7,NA,NA,NA,NA,9162712.431233982,9498629.009707088,NA,5865300.620535703,NA,4933517.387083301,6170854.251857118,NA,9162989.435684025,14114457.588078933
M79T814_POS,79.07518890125077,79.07512415798853,79.0753557270977,814.23565673828125,802.5928955078125,824.64,11,10,NA,NA,NA,25709127.050759126,24656856.08367615,7465582.5115071945,6199510.794174074,14633374.898070905,NA,28047399.63615571,28620910.126730893,21752906.456164777,22145756.700550877,26530391.445279032
M80T835_POS,79.91868582494506,79.91864840743533,79.91872322257711,834.79217529296875,833.1939697265625,835.5548095703125,7,7,NA,NA,NA,379532.6902488457,421692.1103044372,226836.79654090336,NA,228008.25981445392,238121.8088872785,136055.7926760099,228086.5816359973,NA,NA,NA
M81T36_POS,81.069769527302725,81.06970076077663,81.0699448141751,35.97506523132324,31.59646224975586,39.25431823730469,14,14,9623937.134286296,5046217.47257789,22172380.68934182,9145751.933049535,15288555.428219428,7371436.771528626,15669451.891392987,18513600.739512064,7937279.49834259,14629046.693416182,9346934.083531717,11613264.526524102,16029553.00422375,6585877.386238844
M82T47_POS,82.40711544923121,82.40706411539692,82.4072570722531,47.0097,44.86824417114258,47.33162307739258,13,13,354589.8558552192,452854.64160449215,879162.3133434103,1393679.581697359,945361.4893891601,935449.1616310291,642567.2681960224,740995.4464705256,806271.9908315757,NA,1135281.4839630467,989629.0411071765,681334.2559081414,1005253.4196060867
M83T46_POS,82.56872817105321,82.5686697640469,82.56888336497346,46.20310974121094,45.11570358276367,46.72004699707031,7,7,NA,NA,264747.56829921884,NA,280764.8744508246,303556.1667794272,NA,347474.6304237697,216205.68439062472,NA,397473.81969250686,NA,NA,236403.5996312934
M83T830_POS,83.021367433422,83.0213133460372,83.02154780677218,829.9460144042969,825.8885498046875,839.7366943359375,12,12,NA,NA,12638481.97381649,3517939.084724357,5624262.996998609,6451992.277129032,15503392.221231239,5180874.005990466,6706681.513340826,16678079.947903337,7263128.708933712,10027728.959263157,16727519.874041468,8740034.805088343
