file_name.x,package,version.x,file_name.y,version.y
masscleaner_1.0.12.tar.gz,masscleaner,1.0.12,masscleaner_1.0.12.tar.gz,1.0.12
massconverter_1.0.3.tar.gz,massconverter,1.0.3,massconverter_1.0.3.tar.gz,1.0.3
massdatabase_1.0.11.tar.gz,massdatabase,1.0.11,massdatabase_1.0.15.tar.gz,1.0.15
massdataset_1.0.34.tar.gz,massdataset,1.0.34,massdataset_1.0.34.tar.gz,1.0.34
massprocesser_1.0.10.tar.gz,massprocesser,1.0.10,massprocesser_1.0.10.tar.gz,1.0.10
massqc_1.0.6.tar.gz,massqc,1.0.6,massqc_1.0.6.tar.gz,1.0.6
massstat_1.0.5.tar.gz,massstat,1.0.5,massstat_1.0.5.tar.gz,1.0.5
masstools_1.0.14.tar.gz,masstools,1.0.14,masstools_1.0.15.tar.gz,1.0.15
metid_1.2.35.tar.gz,metid,1.2.35,metid_1.3.1.tar.gz,1.3.1
metpath_1.0.8.tar.gz,metpath,1.0.8,metpath_1.0.10.tar.gz,1.0.10
tidymass_1.0.8.tar.gz,tidymass,1.0.8,tidymass_1.0.8.tar.gz,1.0.8
